"gid","name","area","status","date_create","description","polygon","type_land"
1,"1",NULL,NULL,"2023-11-26 22:46:19.887391+03","Участок №415","0106000020E6100000010000000103000000010000000C000000FAE71995E07C47407FC15FB81F524E400043CF26647D47407ED17F1B24524E4038FC090E7A7E47406AB58D2717524E40E6691FB59E7E4740FE3FB48DDA514E407439891AA17E4740538E94F2B0514E407A8C5A4AC67F47402505C1A23D514E408D92604A8B7F4740CA4A022AD6504E40E7012CF2EB7D474045F0BF95EC504E405FD04202467D474076F9D687F5504E40CE1C925A287D4740E0BBCD1B27514E402593533BC37C4740E9633E20D0514E40FAE71995E07C47407FC15FB81F524E40",2
2,"15",NULL,NULL,"2024-01-13 18:33:02.9183+03","Участок №-1998","0106000020E6100000010000000103000000010000000E000000C294637D7380474087EBFE0192474E403E28DFB845804740A736F26073474E402E771A789F7F4740CA9736B908474E409CBCE19CC18447409AD93DE0DF464E409C535F1A75844740A3CF5B0BAA454E4086E63A8DB4804740A1DAE044F4454E40FD4AE7C3B38047401F9DBAF259464E40454AB3791C7E4740847EA65EB7464E40E4A08499B67D4740D9B45208E4464E407D3D5FB35C7E47407F6DFDF49F474E402C634337FB7D47406D8C9DF012484E404F3DD2E0B67E4740E0DA899290484E40EEB5A0F7C67E47407383A10E2B484E40C294637D7380474087EBFE0192474E40",2
3,"14",NULL,NULL,"2024-01-17 16:32:57.544207+03","Участок №-256","0106000020E61000000100000001030000000100000010000000BB5B6AF3E47C4740AD531E9EEA454E405C472011347C474021D549ADF3454E401D49E189D57B4740FE5EF68D7D454E406B4A3BCD917B4740908E8A5F27454E40FDBCA948857B4740BFB5132521454E403CD9CD8C7E7A47403866D993C0444E4096ADFF797A7A47403CDDB8607B444E40EE755612BB7947406E27D5EE2D444E40D40AD3F71A784740817C09151C444E40117008556A784740E353008C67444E409831056B9C77474090A1630795444E4076E3DD91B176474027BEDA519C454E40A39410ACAA774740ECDFF599B3464E4023BF7E880D784740FD3383F8C0464E40B7D26BB3B17C4740183F8D7BF3454E40BB5B6AF3E47C4740AD531E9EEA454E40",3
4,"13",NULL,NULL,"2023-12-03 00:33:17.420319+03","Участок №-1439","0106000020E610000001000000010300000001000000070000003BE466B8017347406C787AA52C454E406116DA39CD7447400344C18C29464E4017F032C3467547401BDA006C40464E40A39410ACAA774740ECDFF599B3464E4076E3DD91B176474027BEDA519C454E40927538BA4A734740588FFB56EB444E403BE466B8017347406C787AA52C454E40",1
5,"4",NULL,NULL,"2024-02-13 22:51:12.178143+03","Участок №-2325","0106000020E6100000010000000103000000010000002500000058923CD7F74747401618B2BAD5494E400150C58D5B4847405C1B2AC6F9494E4045B75ED383484740AAF23D23114A4E4060234910AE4847407C9BFEEC474A4E405796E82CB34847408D5DA27A6B4A4E4024253D0CAD484740D55A9885764A4E406D73637AC24847402B6EDC627E4A4E40246420CF2E494740FC1D8A027D4A4E40158E2095624947403E079623644A4E40EDB94C4D82494740F5A10BEA5B4A4E40A52F849CF749474072C3EFA65B4A4E40A60BB1FA234A4740BF49D3A0684A4E40BF2CEDD45C4A474029064834814A4E408FFE976BD14A474068075C57CC4A4E404AB3791C064B4740DCA16131EA4A4E4073BA2C26364B4740E59CD843FB4A4E40F60CE198654B47400FB56D18054B4E40B01F6283854B47404FEB36A8FD4A4E402235ED629A4B47400A2C8029034B4E4042075DC2A14B4740F92EA52E194B4E4036E49F19C44B47405EF415A4194B4E4094BE1072DE4B47401D56B8E5234B4E40EFC8586DFE4B474015376E313F4B4E409F008A91254B47405BB4006DAB4B4E404643C6A35450474050FBAD9D284B4E40698EACFC325047400D1AFA27B84A4E402E58AA0B784F4740EE42739D46484E4099D53BDC0E4F4740354069A851484E402E71E481C84E47408F899466F3484E400EF450DB864D4740EC6D3315E2494E4018096D39974C4740B9E00CFE7E494E4096218E75714B4740E8D9ACFA5C494E4085B2F0F5B54A47407505DB8827494E40B18BA2073E4A4740750470B378494E4072A43330F2484740F984ECBC8D494E40A0DFF76F5E484740459DB98784494E4058923CD7F74747401618B2BAD5494E40",2
6,"2",NULL,NULL,"2024-02-03 22:05:34.340212+03","Участок №-2317","0106000020E61000000100000001030000000100000012000000ABB4C5353E49474097E315889E4C4E40B60F79CBD54B47402750C422864D4E408BFA2477D84C47402BDF3312A14D4E404DDA54DD234D474061191BBAD94D4E40753E3C4B904D474096CFF23CB84D4E40F27B9BFEEC4D4740B937BF61A24D4E40F5673F52444E4740A1F2AFE5954D4E404BCB48BDA74E4740221807978E4D4E400DC7F319504F47405D33F9669B4D4E40C501F4FBFE4F47401CB28174B14D4E40677FA0DCB64F47403AAFB14B544D4E40C939B187F64F4740F436363B524D4E403EAF78EA91504740F8C5A52A6D4D4E40F99E91088D50474070067FBF984D4E40DD7D8E8F165147405227A089B04D4E404643C6A35450474050FBAD9D284B4E409F008A91254B47405BB4006DAB4B4E40ABB4C5353E49474097E315889E4C4E40",3
7,"6",NULL,NULL,"2024-01-17 01:38:38.307627+03","Участок №-534","0106000020E6100000010000000103000000010000000B0000002E58AA0B784F4740EE42739D46484E40698EACFC325047400D1AFA27B84A4E40E5B512BA4B5647404679E6E5B0474E40E481C8224D564740D042024697474E408AC745B588564740AF5C6F9BA9464E40255B5D4E09564740F4311F10E8464E40711DE38A8B554740A3E6ABE463474E40618DB3E908544740E92B483316474E40B309302C7F524740064B75012F474E40702711E15F50474036E9B6442E484E402E58AA0B784F4740EE42739D46484E40",3
8,"3",NULL,NULL,"2024-01-26 02:36:42.137083+03","Участок №-80","0106000020E610000001000000010300000001000000150000004643C6A35450474050FBAD9D284B4E40DD7D8E8F165147405227A089B04D4E403FAC376A85514740A29A92ACC34D4E402025766D6F514740A06CCA15DE4D4E4083A279008B524740DE91B1DAFC4D4E40390CE6AF90554740412B3064754D4E4019C5724BAB5547404089CF9D604D4E40D3A3A99ECC5547400247020D364D4E4021E9D32AFA554740D9226937FA4C4E4016DD7A4D0F56474087C267EBE04C4E405C035B2558564740C2DEC4909C4C4E40EA03C93B87564740371C96067E4C4E4051BCCADAA65647407D2079E7504C4E40EF59D76839564740EE5F5969524C4E407F50172994554740F1B913ECBF4C4E404CC3F01131554740A60F5D50DF4C4E40EDD808C4EB544740AB5E7EA7C94C4E408F6CAE9AE7524740630CACE3F84B4E40005471E316534740E0A293A5D64B4E408672A25D85544740C269C18BBE4A4E404643C6A35450474050FBAD9D284B4E40",1
9,"8",NULL,NULL,"2024-01-30 18:30:39.64436+03","Участок №-553","0106000020E61000000100000001030000000100000010000000DE1D19ABCD554740A67C08AA46434E40573ECBF3E0564740EAAEEC82C1454E40389ECF807A574740BB5E9A22C0454E4079EBFCDB65594740ABAE433525474E40D3BEB9BF7A5A4740AF963B33C1464E40F2406491265A4740E833A0DE8C464E40C7DADFD91E594740FAB5F5D37F464E407974232C2A5847406153E751F1454E40ED629AE95E59474015FE0C6FD6444E40BC033C69E158474085EFFD0DDA414E40707D586FD4584740A038807EDF414E408CF50D4C6E584740F27A30293E424E4026FF93BF7B574740B64DF1B8A8424E40BE874B8E3B5747407EA99F3715434E40B22E6EA301564740C45BE7DF2E434E40DE1D19ABCD554740A67C08AA46434E40",3
10,"7",NULL,NULL,"2023-12-30 18:42:35.751428+03","Участок №974","0106000020E6100000010000000103000000010000000C0000008C3045B934524740749A05DA1D444E400C04013274524740D671FC5069444E40DE04DF347D52474022FE614B8F444E40A18158367352474040852348A5444E40834C32721654474068EBE0606F464E40F452B131AF55474078D32D3BC4454E40573ECBF3E0564740EAAEEC82C1454E40DE1D19ABCD554740A67C08AA46434E400DE4D9E55B5547401B8524B37A434E401212691B7F544740529B38B9DF434E4040683D7C99524740F06AB93313444E408C3045B934524740749A05DA1D444E40",2
