"gid","name","status","geom","len"
1398,"дорога №1398",True,"0105000020E61000000100000001020000003E000000C6A8C6A6F0BA4640BC6B1A25F9484E407E80FFF7F1BA46403162FAB9FC484E4060611CB7F3BA4640E9F17B9BFE484E406A036674F6BA464012F5279600494E405D41898510BB464080176CD910494E40D2E4BDC51EBB4640463C7E141A494E40807F4A9528BB4640E990E56E21494E4053B4722F30BB4640FEE8E5C127494E409DC3109436BB46407706578A2E494E4076EFF2BE3BBB46407907D38B35494E40AA0AB20A40BB46404609FA0B3D494E409074BCB843BB4640FA9408F945494E40A1212DDF44BB4640CD3FFA264D494E40651DE96745BB46403A67FADB54494E40CA106C0146BB464022C154336B494E4099805F2349BB4640B491EBA694494E403F355EBA49BB46401FD55526A1494E406FFB79AE4ABB4640889345ABA4494E408BF447BD4CBB46406E5974A1A8494E40CAD12D8551BB4640FACD69BBAE494E40484442A55BBB46404FC7084DB7494E406756009D93BB464034828DEBDF494E4008AEF204C2BB4640B75B374A034A4E402F1E392DD3BB4640EC432800104A4E40567A127DE3BB46401CA32BC71A4A4E40F775E09C11BC464070A24C593C4A4E40D762015D45BC4640E509849D624A4E40BAC61D2565BC46404B2366F6794A4E401D2DBDEC8DBC464082154CA1984A4E40AE4DBE34A0BC46404C61EF0FA54A4E409269238DC0BC4640343F4860BD4A4E409D2919A5F0BC46407BCCF6D7E14A4E40C00EF7EC14BD46407F5B66C7FC4A4E40CB16A47444BD464043F68B23204B4E40AABB0DC578BD4640FA4C5189464B4E40D2037A3C88BD4640B62682DD554B4E40A6E8ED748CBD46406D205D6C5A4B4E40E60D8BAC90BD4640691CEA77614B4E407B15191D90BD46403CF5EDC9684B4E407193AC1E8BBD4640E12538F5814B4E40727F3F468ABD464002BC60CB864B4E40DC9F8B868CBD4640F57700D5894B4E401BC528BE90BD46408F92B2A08B4B4E40EF05C13E95BD4640115729988C4B4E40999361269BBD464053A2DB018D4B4E40ADE52906A3BD4640A6E8ED748C4B4E40EBD67CA6A8BD46404E19EE128B4B4E40BC0276DABFBD464021EFB0E4854B4E40FA97A432C5BD464009997510854B4E40A395D63ACCBD464009997510854B4E404C930843D3BD46404B123A9E854B4E40F6C484E2D8BD4640E42CEC69874B4E40CB3967FADBBD4640010C152D8A4B4E40CB3967FADBBD46405E36F0598D4B4E40F6C484E2D8BD4640809E060C924B4E400DB6227BCEBD464097C9703C9F4B4E40A3F1FA82CCBD46409397EB23A64B4E40A34D1FCBCCBD46408BDC781CAB4B4E4078AE940ACFBD4640AC448FCEAF4B4E40175234C5D2BD4640EF1AF4A5B74B4E400019DFBCDDBD4640FB83375AC44B4E40F353C14DEBBD4640FD2BD093D74B4E40",NULL
1714,"дорога №1714",False,"0105000020E610000001000000010200000006000000C7E58931FA0C4740750877C2A6744E40503F5EFEF90C47402B9DB415A0744E401AB09A9DFB0C474021E7FD7F9C744E40AA8DA0E7050D474033FE7DC685744E40D77ED70C150D47407A36AB3E57744E409A6E23AF180D474074CC1E0D4C744E40",NULL
1715,"дорога №1715",True,"0105000020E61000000100000001020000003000000077C54263DCDD4640A5D4CA29A6554E405A4D32CDCFDD46401D9BD31BA4554E4062D45A3DCCDD46400603194BA2554E40ABD4473BC9DD46406F42C6489B554E400B879455C7DD46407EEEBA6D95554E406CB5E276C3DD4640A52435FE8E554E402E686B8EBDDD464095B146E28A554E405CD71EACB5DD4640971F138486554E40474D052681DD4640E813799274554E402E6E484849DD4640F0ABCD5A65554E40FD27243E1CDD4640CB50700C5C554E40EFB32506DCDC4640B2E54B5E53554E40E9ED748CD0DC464048556EFD4F554E40EC7B1EEDC9DC464091555BFB4C554E40AFD579AFB5DC46404B08B18E3E554E40A619411999DC464065C977842E554E4089B8944E7FDC4640503AEC191D554E40CDCF68064CDC464057FA1A930F554E407FA65EB708DC4640C56691370A554E40B46E2821FDDB4640D25C024B09554E4096A1E018B8DB4640485F52C609554E40D354AA9F92DB464052712DA40D554E4076DC950277DB4640D5AEAEAF1A554E400ECEF11B70DB4640D1402C9B39554E401142F6306ADB464051C0763062554E400E10711871DB46403EB72B4F7B554E4074E492F47ADB4640ADEB6179A1554E40D354AA9F92DB46408860C1A2C7554E40D0E0A58A98DB4640755776C1E0554E40D744B0BB8ADB46404DF3339A01564E4092B1DAFCBFDB4640773DE2A139564E40B13CA30804DC4640EC08F19249564E400CBDB49723DC4640B3599A0068564E40CFC76B1448DC4640908C30A072564E40F008B83187DC464038995D9C9D564E404BCB48BDA7DC46409EC9A3C0A7564E4030174C570BDD4640EDEEA600BD564E408D8F60F426DD46405D31C802CB564E40E793707C48DD4640ACA8C1340C574E40EB83769840DD4640599C7B5924574E404AF48D4358DD46408A2D4EC642574E40A6F0A0D975DD4640691030044A574E40693DD7529BDD4640372108EB5A574E40C8EF6DFAB3DD464075FBF6BF6D574E402FFE11E1BADD4640C830DDDA78574E40C7736CF3B5DD4640C120448D9D574E40D5480158D3DD464061A35126DA574E4073E0302CDADD46408F52094FE8574E40",NULL
1732,"дорога №1732",False,"0105000020E610000001000000010200000022000000372BECB3141A4740B7E0568B99524E4012BF620D171A47405A18D81995524E40ACC5A700181A4740984231C390524E4042E7DABC161A4740CFEB996F8E524E406DA00AC9131A4740CBC4083C8B524E40DA345B1E101A474073710AE187524E409850C1E1051A474070F48CD882524E40A8363811FD194740D7F9B7CB7E524E4026F03D12E51947401D4F159D76524E4056CA7C51CC194740F3B281CF6A524E40CCEB2D8AC3194740252F21D566524E4069520ABABD1947405B34AEC964524E40291B7B9BA31947408EB685425F524E40DFB023C44B1947407FC74B9242524E401B50CAFF3F194740681B24E93F524E400E6B8544351947408EA78A4E3B524E40D212D0E91E19474028017B9631524E407E7B8D1315194740F6EBF3BD2B524E409460BBC50D194740860E70F728524E4000378B170B194740527DE71725524E409E9D674705194740FB57FBE021524E401CF0541BF718474082CAF8F719524E4029E384AEE91847401B38561811524E400E9A023EE4184740EE974F560C524E408FD9FE3ADC1847403664F2BC0A524E401B8AF150CA184740CBE149C109524E406F0F4240BE18474097D4BFDA07524E40E3214212AC184740D42C2BA803524E405BF0FD689318474074435376FA514E40ED7195DD82184740FF1E61BDF6514E40F69B89E9421847403887C66EFA514E404EEC46C4391847404A4EDCE0FA514E408E42ED12301847406E10525CFA514E408912E3EB21184740F222B836F9514E40",NULL
1737,"дорога №1737",False,"0105000020E61000000100000001020000001F0000000C27C4B70B2F4740F0236D99C22A4E400EAE6F16E52E4740F1A4E0849D2A4E4010351B75BE2E4740EA173614882A4E4076E84F768E2E4740836275F5742A4E40CDEF8F52642E4740E83E4A36682A4E40CF0AB19F6A2C4740BBDCBB61362A4E40DB3CC4F5DE2A474000790A140C2A4E407C26A02EF729474014D044D8F0294E40C70B8E379E2947400AE93A9EE0294E408D695CEE82284740F1BE85D09C294E402C4833164D2847408F6D197096294E4092FB67171D28474077E3930497294E4014048F6FEF274740469E7F16A6294E408860C1A2C72747408AB1A778B7294E40668E9BD0DA25474088F546AD302B4E40A31529DE12254740387469B2352C4E4055078A69F0244740D3D7987C582C4E40EFB32506DC24474055151A88652C4E40C27AEDE3B224474000B26BD6742C4E404D3E8743802447405299620E822C4E4086AFAF75A92347406BB75D68AE2C4E409F4D582C8F2347405B5B1DA5B72C4E408E6F94618123474098A25C1ABF2C4E409C2045F87223474074CFBA46CB2C4E40E910381268234740C7B6B17ED82C4E40490B3C9C65234740D3399A7EE42C4E407E1EFEF565234740AD2C76A0F32C4E40CB0EF10F5B234740780888EEFE2C4E40191989754F234740DA177552042D4E409B5EBDE5452347409D691DB0062D4E405CDDFB6541234740B51B7DCC072D4E40",NULL
1950,"дорога №1950",True,"0105000020E6100000010000000102000000100000008D5DA27A6B204740C66F0A2B15624E4025F95B4C7D204740C705B17D12624E4044D14DAC9D204740B131AF230E624E4034338EECA520474052712DA40D624E409AAB8B80AF204740B1CF52680F624E4061270692C120474030687CBA15624E406562049EC520474054104DEA15624E40227B736EC92047404E81278815624E4036B863A021214740246BC317DC614E4059405711242147402EBCDC71D4614E403AC54F88252147402B6D718DCF614E40690DEF833D214740DD6A8C8CC4614E4003322A5F86214740C9C1114999614E40B6B700D9902147400D9535A094614E40CF256607A6214740480092448A614E40FAB9FCE2AD214740E5EA6C6D86614E40",NULL
2124,"дорога №2124",False,"0105000020E61000000100000001020000000900000073E0302CDADD46408F52094FE8574E403CD22A44D1DD4640776C5F9BE8574E40BF373C73C5DD4640C4793881E9574E40D5DAEA28BDDD4640B8B1D991EA574E40CD1C37A1B5DD464063096B63EC574E406351C71979DD4640AAD5575705584E4010B22C98F8DC46409224085740584E407735D483DDDC46405110E1044B584E40385ECB7564DA464037E6D07D94584E40",NULL
2166,"дорога №2166",False,"0105000020E6100000010000000102000000050000002C007CA64D1E47403CC32F50AD604E400A4966F50E1E4740F28986D6D4604E400FD7C5C8ED1D474075B6DB89ED604E40C4D21B49DD1D4740ADBF2500FF604E4071C0536DDC1D474034BF9A0304614E40",NULL
2168,"дорога №2168",False,"0105000020E61000000100000001020000000900000099C1734A9B5F4740831376F63A4C4E40BC0BEFCDCA5F4740578B998E4A4C4E40DAA61DA3E15F474070F6BD3C534C4E4060A9D326F35F4740BF3225485B4C4E40FD4003FBF95F4740F22D07D5614C4E40F571231BFE5F4740DA50D6146D4C4E403469AE2E02604740F88667AE784C4E409173AC9C076047403A234A7B834C4E405C0D3FEE116047407FC6E0BC934C4E40",NULL
2529,"дорога №2529",False,"0105000020E61000000100000001020000000D000000F7DE84E74ADE464076E7E4A0DF924E40918CE61258DE46408BCF53D3E4924E401E6CB1DB67DE464021FAFF82EE924E4041A43A7881DE4640B5D084DCFB924E40A4816962CBDE46406A076D8324934E407718EEB7D1DE4640034AF9FF27934E40D158FB3BDBDE46404FC12B932B934E40B91B446B45DF4640EA3E00A94D934E40BFF3E6CB66DF46400E66136058934E4093FFC9DFBDDF46405ABBED4273934E40C25664CFF9DF464074BFF9C385934E40C9946AFA47E04640EBB996DA9C934E409E7F16A64AE04640CDE26A099E934E40",NULL
2574,"дорога №2574",False,"0105000020E61000000100000001020000002300000035ADB94846B546409A1947F6524A4E4058F66E3D54B54640E6C4C320554A4E409521D8028CB54640D2A34EE5594A4E4004920B299AB54640A74C7B945B4A4E404029FFFFA4B54640FF1543835E4A4E40FA43334FAEB5464015BC32B9624A4E40EC5E3821BEB546406A6D1ADB6B4A4E40B818A831C6B54640EAAF5758704A4E40074FD7C9CFB546406BF294D5744A4E40D757B2BEDCB54640758EA61F794A4E40249C16BCE8B5464085BF153F7C4A4E40A6AB85A3F5B54640135A208B7E4A4E40A4BCFB8804B64640C4B6A052804A4E408A5759DB14B64640477B174A814A4E401B44108C28B6464011209E80814A4E4095FA682739B646404D6C9967804A4E406DDB9CEF4CB646407EE200FA7D4A4E40AC037BA75DB646404A65E5F27A4A4E4047448C3276B64640E222F774754A4E40DEEE40F8ABB646407D40A033694A4E4072CBFDC4B7B64640AD6E5056674A4E40A224C918C4B646403DB9A640664A4E40C4DD0F2ED3B646406033654C664A4E4003F2800DE3B6464007729A4F674A4E40FAF19716F5B646405F27F565694A4E4080E0E0C105B74640C328AD646C4A4E4072B9669714B7464056664AEB6F4A4E40B90F8AF72DB74640F28178B8784A4E400654EEF439B746401FC65A327D4A4E406F8BE88D49B746401C94D519844A4E40389D09F258B7464001405FC4884A4E40D1E000440BB84640A51C8299A54A4E40FC83EDCCA9B84640AF68290FC14A4E405AA0DD21C5B84640E32DFC85C34A4E401296C2CDF3B84640681888AFC04A4E40",NULL
2691,"дорога №2691",False,"0105000020E610000001000000010200000004000000302C7FBE2D2C47406BD44334BA694E406B6116DA392C4740F090BD39B7694E40D48F977F3E2C4740B5087BC9B5694E403743609B432C4740158DB5BFB3694E40",NULL
2796,"дорога №2796",False,"0105000020E6100000010000000102000000090000008B37328FFCE14640E2C96E66F4934E405739590F04E24640F88903E8F7934E4002C8BF852BE24640C594A35B0A944E400C6A09432EE24640D09849D40B944E40941C0B653CE24640794EC46C13944E40CBA953D44FE24640CE7575221C944E40B7E402E154E2464003F9C89C1D944E402CC13D2A59E24640D35A87591E944E40A813758B65E2464031FB2B1A21944E40",NULL
2955,"дорога №2955",False,"0105000020E610000001000000010200000016000000D5DEF137EB7A474018682DBB16664E40FC349314FD7A47407BA2EBC20F664E4096C6D402207B47406318665710664E409FC7CD154A7B4740649698C2DE654E40DD67F052457B474082BC68D9A4654E4066FDC11B2D7B474082F22D628E654E4096C6D402207B474087527B116D654E408D8C1F741A7B474026602AEC58654E40DA38622D3E7B47400E78AA8DFB644E40EA3E00A94D7B4740AF91C94EE4644E40AC9EDD6B527B4740DA46F24BB3644E409C5901744E7B4740C6E0BC93AA644E4081ABE1C73D7B4740CE1CED139B644E404D7E3095237B47401B09D91E62644E40366D6BB0157B4740F8544E7B4A644E40FEA25FB6F87A474024DAE9622E644E40CB7564F6C37A474071E9F3ACFF634E404B7BDEE8BE7A474079701C1DFC634E407567DC8AB37A47409EC20078FA634E40EE601FF8737A4740120FCDE1FF634E40ED9925016A7A474073ADAC23FD634E409EE7F461627A47400C74ED0BE8634E40",NULL
2956,"дорога №2956",False,"0105000020E61000000100000001020000000600000091ECB6B0132A47400F52A68757564E40F06316EB652A47408E452E933C564E40678984A5702A4740C58F31772D564E4044C59338862A474029B5728AE9554E40045EC1919B2A47407AF601EDB3554E401C221395B22A4740B013A80F6E554E40",NULL
2957,"дорога №2957",True,"0105000020E61000000100000001020000001D000000F69B89E9421847403887C66EFA514E40A2DFADE2431847400F3C6304F9514E4045F295404A184740E7AE809DF6514E40A36428DD4C18474047A34CB4F5514E407B849A21551847407E946CD0F2514E40DE8BD42071184740292504ABEA514E40F4DE1802801847403D748B0AE6514E40324976B69118474045B9347EE1514E40212FB5EF9B184740CFD0894EE0514E409639025DA01847401122742BDF514E40BB7ABA5FAA184740261B0FB6D8514E407F7FEFDBB5184740A021D225D2514E40D8CD31C5C1184740F7651F1ACC514E40A22D420CCF184740DCEE8A85C6514E4041C0B56EDE18474085590D2EC2514E4030A6F4A7E8184740354580D3BB514E404474BE8EEE18474080E14B97B4514E40E4373B08F0184740A5A9F985B2514E40B4AD669DF1184740176B1382B0514E4035AE241EF5184740531333B1AF514E40D3EF671DFA18474005A4FD0FB0514E40AD4C9DEC0B1947403AB187F6B1514E4052BF6614261947405C0B6943B4514E4095F1EF332E19474051ED1D7FB3514E4050A2CAD534194740809FCC9AB3514E401CB85E2E3D194740C1882249B5514E40F553D2794319474037E15E99B7514E40299DA3E947194740BF901F3BB9514E4069780EC061194740F45B2A25BA514E40",NULL
